Dots,Paypal,Bank,Account,Click,Fill,URL,Javascript,Phishing
2,0,0,4,1,0,2,0,True
1,0,0,4,1,0,2,0,True
1,0,0,6,0,1,17,0,True
1,0,0,11,1,1,1,0,True
1,0,0,11,1,1,1,0,True
1,0,0,11,1,1,1,0,True
1,0,0,3,1,0,6,0,True
1,0,0,3,1,0,6,0,True
1,0,0,0,0,0,2,0,True
1,0,0,2,0,0,1,0,True
1,0,0,2,0,0,1,0,True
1,0,0,13,1,0,5,0,True
2,0,0,4,1,0,8,0,True
1,0,1,10,2,0,4,0,True
1,0,0,2,0,0,1,0,True
1,0,0,11,1,0,2,0,True
1,0,0,5,2,0,2,0,True
1,0,0,4,1,1,2,0,True
1,0,2,4,1,0,3,0,True
1,0,2,4,1,0,3,0,True
1,0,0,16,1,0,6,0,True
1,0,0,13,1,0,5,0,True
2,0,0,13,1,0,5,0,True
1,0,0,0,0,0,0,0,True
1,0,0,4,1,0,6,0,True
1,0,0,4,0,0,3,0,True
1,0,0,1,0,0,4,0,True
1,0,0,1,0,0,4,0,True
1,0,0,1,0,0,4,0,True
1,0,0,1,0,0,4,0,True
1,0,0,1,0,0,4,0,True
2,0,0,1,0,0,4,0,True
2,0,0,1,0,0,4,0,True
2,0,0,1,0,0,4,0,True
2,0,0,1,0,0,4,0,True
2,0,0,1,0,0,4,0,True
1,0,0,7,3,1,8,0,True
2,0,0,1,0,0,1,0,True
1,0,0,1,0,0,1,0,True
1,0,0,4,0,0,3,0,True
1,0,0,4,1,0,6,0,True
1,0,0,4,1,0,6,0,True
1,0,0,7,3,1,8,0,True
1,0,0,7,3,1,8,0,True
2,0,0,5,0,0,2,0,True
1,0,0,5,2,0,11,0,True
2,0,2,6,0,0,3,0,True
2,0,2,6,0,0,3,0,True
1,0,2,6,0,0,3,0,True
1,0,0,7,3,1,8,0,True
1,0,0,0,0,0,43,0,True
1,0,0,8,1,0,7,0,True
1,0,0,0,0,0,4,0,True
2,0,0,7,0,1,7,0,True
1,0,0,7,0,1,7,0,True
1,0,0,7,0,1,7,0,True
1,0,0,4,1,0,7,0,True
1,0,0,11,1,0,2,0,True
1,0,0,8,1,0,5,0,True
2,0,0,1,0,0,3,0,True
1,0,0,0,0,0,0,0,True
1,0,0,6,0,0,4,0,True
1,0,0,2,1,0,9,0,True
1,0,0,9,1,0,4,0,True
1,0,0,9,1,0,4,0,True
1,0,0,8,0,0,8,0,True
1,0,0,11,0,0,7,0,True
1,0,0,3,2,0,12,0,True
1,0,1,6,2,0,17,0,True
1,0,1,6,2,0,17,0,True
1,0,1,6,2,0,17,0,True
1,0,0,1,0,0,4,0,True
2,0,0,1,0,0,4,0,True
1,0,0,0,0,0,1,0,True
1,0,0,8,1,0,7,0,True
1,0,0,0,0,0,4,0,True
1,0,0,0,0,0,4,0,True
1,0,0,0,0,0,4,0,True
1,0,0,3,1,0,2,0,True
1,0,0,2,1,0,2,0,True
1,0,0,0,0,0,4,0,True
2,0,0,0,0,0,4,0,True
1,0,0,0,0,0,4,0,True
1,0,0,0,0,0,4,0,True
1,0,1,6,2,0,17,0,True
1,0,0,11,0,0,5,0,True
1,0,0,0,0,0,4,0,True
1,0,1,2,0,0,0,0,True
2,0,1,2,0,0,0,0,True
1,0,0,1,0,0,1,0,True
2,0,0,1,0,0,1,0,True
1,0,0,7,1,0,11,0,True
1,0,0,0,0,0,8,0,True
1,0,0,8,1,0,7,0,True
1,0,0,0,0,0,4,0,True
1,1,0,9,2,0,9,0,True
1,0,0,8,1,0,2,0,True
1,0,0,0,0,0,4,0,True
1,0,0,0,0,0,4,0,True
2,0,0,10,0,0,2,0,True
2,0,2,4,0,1,2,0,True
1,0,0,0,0,0,8,0,True
1,0,0,0,0,0,4,0,True
1,0,0,0,0,0,4,0,True
1,0,0,0,0,0,4,0,True
1,0,0,0,0,0,4,0,True
2,0,0,6,0,0,3,0,True
1,0,0,6,0,0,3,0,True
1,0,0,0,1,0,4,0,True
2,0,0,5,1,0,4,0,True
1,0,0,0,0,0,0,0,True
1,0,0,0,0,0,0,0,True
1,0,0,12,1,0,2,0,True
1,0,0,3,0,0,2,0,True
2,0,0,3,0,0,2,0,True
1,0,0,0,0,0,0,0,True
1,0,0,10,0,0,3,0,True
1,0,0,10,1,0,3,0,True
1,0,0,0,0,0,0,0,True
1,0,0,8,1,0,2,0,True
1,0,0,8,1,0,2,0,True
1,0,0,8,1,0,2,0,True
1,0,0,5,0,0,12,0,True
1,0,0,4,1,0,20,0,True
2,0,2,3,0,0,3,0,True
1,0,2,3,0,0,3,0,True
1,0,0,0,0,0,5,0,True
1,0,0,0,0,0,5,0,True
2,0,0,0,0,0,2,0,True
1,0,0,3,0,0,2,0,True
1,0,0,0,0,0,0,0,True
1,0,1,2,0,0,3,0,True
1,0,1,2,0,0,3,0,True
1,0,1,2,0,0,3,0,True
2,0,1,6,0,0,2,0,True
1,0,0,2,2,0,8,0,True
2,0,0,8,0,0,2,0,True
1,0,0,11,0,0,5,0,True
1,0,0,1,0,0,3,0,True
1,0,0,1,0,0,3,0,True
1,0,0,6,0,0,4,0,True
2,0,0,1,1,0,1,0,True
1,0,0,0,0,0,1,0,True
1,0,0,0,0,0,1,0,True
1,0,0,0,0,0,1,0,True
1,0,0,2,0,0,2,0,True
1,0,0,0,0,0,43,0,True
1,0,0,9,1,0,4,0,True
1,0,0,3,0,0,2,0,True
2,0,0,1,1,0,1,0,True
2,0,0,1,1,0,1,0,True
1,0,0,1,1,0,1,0,True
1,0,0,1,1,0,1,0,True
1,0,0,1,1,0,1,0,True
1,0,0,1,1,0,1,0,True
1,0,0,0,0,0,43,0,True
1,0,0,0,0,0,3,0,True
1,0,0,0,0,0,0,0,True
1,0,0,14,1,0,6,0,True
1,0,0,2,1,0,2,0,True
1,0,0,0,0,0,3,0,True
1,0,0,0,0,0,3,0,True
1,0,0,0,0,0,3,0,True
1,0,0,0,0,0,3,0,True
1,0,0,0,0,0,3,0,True
1,0,0,0,0,0,3,0,True
1,0,0,0,0,0,3,0,True
1,0,0,0,0,0,3,0,True
1,0,0,0,0,0,3,0,True
2,0,2,4,0,0,4,0,True
